"","year","tmax","tmin","af","rain","sun","location"
"169",2021,7.83333333333333,2.33333333333333,9.33333333333333,89.7333333333333,58.7333333333333,"T01"
"170",2022,9.8,3.53333333333333,5,48.2333333333333,68.9666666666667,"T01"
"171",1959,NA,NA,NA,NA,NA,"T02"
"172",1960,4,-2.86666666666667,19.3333333333333,NA,38.7,"T02"
"173",1961,4.4,-1.86666666666667,17,NA,30.9666666666667,"T02"
"174",1962,4.03333333333333,-2.56666666666667,18,102.166666666667,33.2333333333333,"T02"
"175",1963,1.33333333333333,-6.36666666666667,26,84.5333333333333,40.8666666666667,"T02"
"176",1964,4.83333333333333,-1.13333333333333,15,30.9333333333333,38.5,"T02"
"177",1965,3.9,-2.66666666666667,19.6666666666667,62.6333333333333,29.7333333333333,"T02"
"178",1966,2.83333333333333,-3.13333333333333,18.6666666666667,61.5333333333333,23,"T02"
"179",1967,4.63333333333333,-0.3,12.6666666666667,102.5,28.9333333333333,"T02"
"180",1968,3.83333333333333,-3.06666666666667,19.6666666666667,58.5,41.9333333333333,"T02"
"181",1969,3.56666666666667,-2.76666666666667,17.6666666666667,89.4666666666667,28.1666666666667,"T02"
"182",1970,3.33333333333333,-2.96666666666667,20.3333333333333,69.3,37.8,"T02"
"183",1971,5.2,-0.9,16,56.9666666666667,36.4,"T02"
"184",1972,4.93333333333333,-0.0999999999999999,16.3333333333333,105.566666666667,20.8,"T02"
"185",1973,4.8,-1.83333333333333,16.3333333333333,61.2,43.0666666666667,"T02"
"186",1974,5.43333333333333,-0.3,12,144.666666666667,21.2333333333333,"T02"
"187",1975,6.5,-0.366666666666667,14,109.4,44.8666666666667,"T02"
"188",1976,5.9,0.0333333333333334,15.3333333333333,56,27.2666666666667,"T02"
"189",1977,2.46666666666667,-3.46666666666667,23,69.0666666666667,39,"T02"
"190",1978,3.3,-4.33333333333333,19.6666666666667,79.3333333333333,29.4666666666667,"T02"
"191",1979,2.16666666666667,-4.33333333333333,21,93.4,39.6333333333333,"T02"
"192",1980,4.03333333333333,-1.63333333333333,18.3333333333333,113.766666666667,27.5333333333333,"T02"
"193",1981,4.83333333333333,-0.9,18.6666666666667,67.1666666666667,35.9666666666667,"T02"
"194",1982,2.93333333333333,-4.53333333333333,19.6666666666667,82.7666666666667,NA,"T02"
"195",1983,3.93333333333333,-2.03333333333333,18.6666666666667,121.5,28.6666666666667,"T02"
"196",1984,3.93333333333333,-1.8,18.3333333333333,137.266666666667,26.4666666666667,"T02"
"197",1985,3.7,-2.9,19,70.9333333333333,39.6666666666667,"T02"
"198",1986,2.46666666666667,-3.33333333333333,21.3333333333333,104.6,30.8333333333333,"T02"
"199",1987,3.3,-2.5,21.3333333333333,71.4666666666667,39,"T02"
"200",1988,4.43333333333333,-0.7,16.6666666666667,84.4333333333333,24.1666666666667,"T02"
"201",1989,7.2,1.63333333333333,8.33333333333333,77.8666666666667,41.6,"T02"
"202",1990,4.9,-0.766666666666667,15.6666666666667,142.633333333333,39.1333333333333,"T02"
"203",1991,3.7,-2.13333333333333,21.3333333333333,81.1333333333333,34.2,"T02"
"204",1992,6.16666666666667,-0.933333333333333,18.6666666666667,56.7,43.4,"T02"
"205",1993,5.23333333333333,-0.266666666666667,15,90.0333333333333,31.4,"T02"
"206",1994,2.96666666666667,-1.9,22,107.3,22.0666666666667,"T02"
"207",1995,4.8,-1,17,109.166666666667,41.7333333333333,"T02"
"208",1996,2.93333333333333,-2.5,18.6666666666667,84.2666666666667,38.3333333333333,"T02"
"209",1997,4.43333333333333,-1.76666666666667,20.3333333333333,66.4666666666667,37.3666666666667,"T02"
"210",1998,6.66666666666667,1.46666666666667,10,74.7333333333333,31.8,"T02"
"211",1999,5.06666666666667,-0.566666666666667,15,85.6333333333333,36.1,"T02"
"212",2000,5.23333333333333,-0.733333333333333,16.3333333333333,128.333333333333,40.2333333333333,"T02"
"213",2001,3.96666666666667,-1.46666666666667,17.6666666666667,90.8,38.7666666666667,"T02"
"214",2002,5.16666666666667,-0.833333333333333,15.3333333333333,105.9,34.8666666666667,"T02"
"215",2003,4.86666666666667,-1,15.6666666666667,61.9666666666667,37.3,"T02"
"216",2004,5.56666666666667,-1.33333333333333,19.3333333333333,82.7666666666667,39.7333333333333,"T02"
"217",2005,6.2,-0.0333333333333333,14,85.6333333333333,31.9333333333333,"T02"
"218",2006,5.06666666666667,-1.1,15,63.1,NA,"T02"
"219",2007,6.3,0.333333333333333,12.3333333333333,103.666666666667,NA,"T02"
"220",2008,6.1,-1.6,17,111.2,NA,"T02"
"221",2009,4.63333333333333,-2.16666666666667,19,64.3333333333333,NA,"T02"
"222",2010,2.36666666666667,-5.83333333333333,23.6666666666667,35.2666666666667,NA,"T02"
"223",2011,3.5,-3.66666666666667,21.3333333333333,63.6,NA,"T02"
"224",2012,5.7,-0.666666666666667,16.3333333333333,73.5333333333333,NA,"T02"
"225",2013,4.2,-2.03333333333333,19.6666666666667,80,NA,"T02"
"226",2014,5.6,0.8,10.6666666666667,171.466666666667,NA,"T02"
"227",2015,4.66666666666667,-1.5,18.6666666666667,86.9333333333333,NA,"T02"
"228",2016,5.5,-0.833333333333333,16.3333333333333,206.266666666667,NA,"T02"
"229",2017,6.8,4.62592926927149e-17,15.6666666666667,66.8,NA,"T02"
"230",2018,4.13333333333333,-1.96666666666667,21,47,NA,"T02"
"231",2019,6.4,-1.43333333333333,16.3333333333333,53.6666666666667,NA,"T02"
"232",2020,6.1,7.40148683083438e-17,13.3333333333333,111.6,NA,"T02"
"233",2021,3.86666666666667,-2.2,17.6666666666667,88.7666666666667,NA,"T02"
"234",2022,5.7,-0.266666666666667,14.6666666666667,67.7333333333333,NA,"T02"
"235",1853,NA,NA,NA,NA,NA,"T03"
"236",1854,NA,NA,NA,52.2666666666667,NA,"T03"
"237",1855,NA,NA,NA,51.0666666666667,NA,"T03"
"238",1856,NA,NA,NA,50.6,NA,"T03"
"239",1857,NA,NA,NA,71.6,NA,"T03"
"240",1858,NA,NA,NA,37.5,NA,"T03"
"241",1859,NA,NA,NA,67.2333333333333,NA,"T03"
"242",1860,NA,NA,NA,60.3,NA,"T03"
"243",1861,NA,NA,NA,69.5333333333333,NA,"T03"
"244",1862,NA,NA,NA,66.1333333333333,NA,"T03"
"245",1863,NA,NA,NA,59,NA,"T03"
"246",1864,NA,NA,NA,44.6333333333333,NA,"T03"
"247",1865,NA,NA,NA,80.7,NA,"T03"
"248",1866,8.53333333333333,2.76666666666667,4,88.4,NA,"T03"
"249",1867,7.83333333333333,1.76666666666667,7,NA,NA,"T03"
"250",1868,8.33333333333333,2.6,6.33333333333333,96.8666666666667,NA,"T03"
"251",1869,9.46666666666667,4.16666666666667,1.33333333333333,145.866666666667,NA,"T03"
"252",1870,6.6,0.233333333333333,11.6666666666667,107.833333333333,NA,"T03"
"253",1871,6.66666666666667,1.06666666666667,10.3333333333333,94.8,NA,"T03"
"254",1872,8.46666666666667,2.26666666666667,5.66666666666667,100.533333333333,NA,"T03"
"255",1873,7.13333333333333,1.16666666666667,10.3333333333333,108.033333333333,NA,"T03"
"256",1874,9.26666666666667,3.03333333333333,3,55.4,NA,"T03"
"257",1875,7.26666666666667,1.13333333333333,10,73.3,NA,"T03"
"258",1876,8.03333333333333,1.36666666666667,9.66666666666667,61.6,NA,"T03"
"259",1877,9,2.7,4.66666666666667,129.533333333333,NA,"T03"
"260",1878,8.83333333333333,2.56666666666667,4.66666666666667,74,NA,"T03"
"261",1879,4.73333333333333,-1.83333333333333,19,45.2333333333333,NA,"T03"
"262",1880,7.3,0.966666666666667,9.33333333333333,50.4,NA,"T03"
"263",1881,5.03333333333333,0.166666666666667,13,48.3333333333333,NA,"T03"
"264",1882,8,3.26666666666667,3,56.5333333333333,NA,"T03"
"265",1883,6.7,1.86666666666667,4.66666666666667,96.3,NA,"T03"
"266",1884,7.73333333333333,2.9,3,85.4666666666667,NA,"T03"
"267",1885,7.2,1.6,6.33333333333333,72.7666666666667,NA,"T03"
"268",1886,5.83333333333333,0.566666666666667,13.3333333333333,64.7666666666667,NA,"T03"
"269",1887,6.56666666666667,1.3,10,64.8666666666667,NA,"T03"
"270",1888,6.7,0.9,12,36.8,NA,"T03"
"271",1889,7.6,1.66666666666667,8,51.2,NA,"T03"
"272",1890,8,2.26666666666667,5,52,NA,"T03"
"273",1891,7.03333333333333,0.833333333333333,9.66666666666667,25.7,NA,"T03"
"274",1892,6.63333333333333,0.966666666666667,10,63.0666666666667,NA,"T03"
"275",1893,6.36666666666667,1.2,10.3333333333333,50.3,NA,"T03"
"276",1894,7.63333333333333,1.9,6.33333333333333,93.4,NA,"T03"
"277",1895,4.7,-1.36666666666667,16.3333333333333,43.9666666666667,NA,"T03"
"278",1896,7.7,2.8,4,55.8666666666667,NA,"T03"
"279",1897,6.96666666666667,0.966666666666667,9.33333333333333,57.2333333333333,NA,"T03"
"280",1898,8.53333333333333,2.76666666666667,5.33333333333333,77.1333333333333,NA,"T03"
"281",1899,8.33333333333333,2.43333333333333,6.33333333333333,66.5666666666667,NA,"T03"
"282",1900,6.4,0.8,9,74.2333333333333,NA,"T03"
"283",1901,7.5,2.26666666666667,5,70.8333333333333,NA,"T03"
"284",1902,5.96666666666667,0.766666666666667,11.6666666666667,66.9666666666667,NA,"T03"
"285",1903,8.03333333333333,2.76666666666667,5.33333333333333,88.8333333333333,NA,"T03"
"286",1904,6.3,1.5,6,71.6,NA,"T03"
"287",1905,7.63333333333333,2.43333333333333,4.33333333333333,50.9,NA,"T03"
"288",1906,7.7,2.43333333333333,7.33333333333333,65.1666666666667,NA,"T03"
"289",1907,6.7,1.56666666666667,9.66666666666667,46.7333333333333,NA,"T03"
"290",1908,7.6,2.23333333333333,6.33333333333333,58.3333333333333,NA,"T03"
"291",1909,7.73333333333333,2.56666666666667,4.33333333333333,55.6666666666667,NA,"T03"
"292",1910,6.76666666666667,1.1,10,89.3,NA,"T03"
"293",1911,7.86666666666667,2.33333333333333,4.66666666666667,65.0333333333333,NA,"T03"
"294",1912,7.46666666666667,2.1,6.66666666666667,99.8666666666667,NA,"T03"
"295",1913,8.16666666666667,2.53333333333333,3.33333333333333,77.1666666666667,NA,"T03"
"296",1914,8.03333333333333,2.63333333333333,3.66666666666667,60.9,NA,"T03"
"297",1915,6.1,0.5,10,114.833333333333,NA,"T03"
"298",1916,7.9,2.2,6.66666666666667,97.7666666666667,NA,"T03"
"299",1917,5.43333333333333,0.3,13.6666666666667,56.0666666666667,NA,"T03"
